Brand,Device,Buttplug-C#,Buttplug-JS,Win7,Win8,Win10 14939,Win10 15063,macOS,Linux,Android,ChromeOS,iOS,Notes
Magic Motion,Eidolon,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Magic Motion,Barocco,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Magic Motion,Magic Vini,1,0,,,,buttplug-c#,,,,,,
Magic Motion,Magic Fugu,1,0,,,,buttplug-c#,,,,,,
Mystery Vibe,Crescendo,1,0,,,,buttplug-c#,,,,,,
Mystery Vibe,Tenuto,1,0,,,,buttplug-c#,,,,,,
Fleshlight,Vstroker,0,0,,,,,,,,,,
Elvie,Elvie kegel trainer,0,0,,,,,,,,,,
Svakom,Siime,0,0,,,,,,,,,,
Svakom,Siime Eye,0,0,,,,,,,,,,
Svakom,Ella,1,0,,,,buttplug-c#,,,,,,
IMTOY,Gazelle,0,0,,,,,,,,,,
IMTOY,Giraffe,0,0,,,,,,,,,,
IMTOY,Whale,0,0,,,,,,,,,,
IMTOY,Rhino,0,0,,,,,,,,,,
IMTOY,Dolphin,0,0,,,,,,,,,,
IMTOY,Piu,0,0,,,,,,,,,,
IMTOY,Manta Ray,0,0,,,,,,,,,,
IMTOY,Candy,0,0,,,,,,,,,,
Vibratissimo,SingleBall,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,DuoBall,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,PantyBuster,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Rambo,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,TouchMe,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Berlin,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Paris,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Dubai,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,London,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Sydney,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Rom,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,New York,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Cancun,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Moskau,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Hollywood,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Blade,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Cole,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Hercules,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Souta,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Obsession,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Lee,1,0,,,,buttplug-c#,,,,,,
